scientificName,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,year,month,day,depth,depthAccuracy,basisOfRecord,issue,source
Steindachneria argentea,29.27,-87.7833,NA,1969,6,22,433,NA,PRESERVED_SPECIMEN,GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,GBIF
Steindachneria argentea,29.116301,-88.352898,935,2008,10,9,NA,NA,PRESERVED_SPECIMEN,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,GBIF
Steindachneria argentea,29.1257,-88.368896,910,2008,10,8,NA,NA,PRESERVED_SPECIMEN,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,GBIF
Steindachneria argentea,29.241667,-88.125,NA,1979,1,25,NA,NA,PRESERVED_SPECIMEN,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES,GBIF
Steindachneria argentea,28.93,-89.55,NA,1978,10,27,NA,NA,PRESERVED_SPECIMEN,,GBIF
Steindachneria argentea,28.833333,-89.516667,NA,NA,NA,NA,NA,NA,PRESERVED_SPECIMEN,,GBIF
Steindachneria argentea,18.798333,-94.536667,NA,1999,3,12,0,0,PRESERVED_SPECIMEN,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,GBIF
Steindachneria argentea,23.035556,-97.4025,NA,1989,9,13,125,0,PRESERVED_SPECIMEN,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,GBIF
Steindachneria argentea,23.335556,-97.368333,NA,1990,12,2,0,0,PRESERVED_SPECIMEN,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,GBIF
Steindachneria argentea,25.668056,-96.900833,NA,1990,4,10,0,0,PRESERVED_SPECIMEN,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,GBIF
Steindachneria argentea,22.683611,-97.401944,NA,1990,12,2,0,0,PRESERVED_SPECIMEN,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,GBIF
Steindachneria argentea,29.27,-87.7833,NA,1969,6,22,433,NA,PRESERVED_SPECIMEN,GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,GBIF
Steindachneria argentea,29.17,-88.5,NA,1959,1,26,228.5,45.5,PRESERVED_SPECIMEN,GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,GBIF
Steindachneria argentea,29.12,-88.57,NA,1962,6,14,229,NA,PRESERVED_SPECIMEN,GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,GBIF
Steindachneria argentea,29.2083,-88.02,NA,1962,7,25,366,NA,PRESERVED_SPECIMEN,GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,GBIF
Steindachneria argentea,29.2417,-88.1583,NA,1885,2,11,124,0,PRESERVED_SPECIMEN,GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,GBIF
Steindachneria argentea,28.5,-89.37,NA,1959,5,21,155,NA,PRESERVED_SPECIMEN,GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,GBIF
Steindachneria argentea,27.6164,-93.0094,NA,2006,10,21,381.25,NA,PRESERVED_SPECIMEN,GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,GBIF
Steindachneria argentea,28.77,-89.3,NA,1959,5,22,110,NA,PRESERVED_SPECIMEN,GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,GBIF
Steindachneria argentea,29.17,-88.13,NA,1956,6,22,439,NA,PRESERVED_SPECIMEN,GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,GBIF
Steindachneria argentea,29.17,-88.5,NA,1959,1,26,228.5,45.5,PRESERVED_SPECIMEN,GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,GBIF
Steindachneria argentea,10.210833,-75.867833,2749.83,1995,1,1,NA,NA,PRESERVED_SPECIMEN,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,GBIF
Steindachneria argentea,-13.679167,-39.193333,NA,1999,7,7,NA,NA,PRESERVED_SPECIMEN,COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,GBIF
